OrderID,CustomerName,Segment,Category,Sales,Profit
ORD-0165,Darren Powers,Consumer,Office Supplies,16.448,5.5512
ORD-0288,Phillina Ober,Home Office,Office Supplies,3.54,-5.487
ORD-0288,Phillina Ober,Home Office,Office Supplies,11.784,4.2717
ORD-0288,Phillina Ober,Home Office,Office Supplies,272.736,-64.7748
ORD-0710,Mick Brown,Consumer,Office Supplies,19.536,4.884
ORD-1036,Maria Etezadi,Home Office,Furniture,2573.82,746.4078
ORD-1036,Maria Etezadi,Home Office,Office Supplies,5.48,1.4796
ORD-0197,Jack O'Briant,Corporate,Office Supplies,12.78,5.2398
ORD-1036,Maria Etezadi,Home Office,Office Supplies,609.98,274.491
ORD-1036,Maria Etezadi,Home Office,Office Supplies,31.12,0.3112
ORD-1036,Maria Etezadi,Home Office,Office Supplies,6.54,3.0084
ORD-0551,Lycoris Saunders,Consumer,Office Supplies,19.44,9.3312
ORD-1036,Maria Etezadi,Home Office,Technology,755.96,204.1092
ORD-1036,Maria Etezadi,Home Office,Technology,391.98,113.6742
ORD-0191,Vivek Sundaresam,Consumer,Furniture,76.728,-53.7096
ORD-0191,Vivek Sundaresam,Consumer,Office Supplies,10.43,-18.2525
ORD-0620,Melanie Seite,Consumer,Office Supplies,9.344,1.168
ORD-0620,Melanie Seite,Consumer,Technology,31.2,9.75
ORD-0795,Anthony Jacobs,Corporate,Furniture,51.94,21.2954
ORD-0795,Anthony Jacobs,Corporate,Office Supplies,2.89,1.3583
ORD-0539,Seth Vernon,Consumer,Furniture,9.94,3.0814
ORD-0904,Brian Dahlen,Consumer,Furniture,333.999,3.9294
ORD-0242,Natalie DeCherney,Consumer,Furniture,545.94,87.3504
ORD-0904,Brian Dahlen,Consumer,Office Supplies,19.9,6.567
ORD-0373,Michael Moore,Consumer,Office Supplies,3.438,-2.5212
ORD-0968,Chris Selesnick,Corporate,Office Supplies,5.64,2.7072
ORD-0968,Chris Selesnick,Corporate,Office Supplies,50.94,25.47
ORD-0968,Chris Selesnick,Corporate,Office Supplies,11.36,5.3392
ORD-0373,Michael Moore,Consumer,Office Supplies,37.408,13.0928
ORD-0968,Chris Selesnick,Corporate,Office Supplies,572.58,34.3548
ORD-0904,Brian Dahlen,Consumer,Office Supplies,1325.85,238.653
ORD-0968,Chris Selesnick,Corporate,Technology,646.74,258.696
ORD-0800,Brendan Sweed,Corporate,Furniture,61.96,-53.2856
ORD-0155,Erica Hackney,Consumer,Technology,149.95,65.978
ORD-0339,Delfina Latchford,Consumer,Furniture,127.104,28.5984
ORD-0339,Delfina Latchford,Consumer,Office Supplies,18.588,-13.6312
ORD-0339,Delfina Latchford,Consumer,Office Supplies,30.072,10.1493
ORD-0339,Delfina Latchford,Consumer,Technology,124.2,-31.05
ORD-0443,David Wiener,Corporate,Office Supplies,64.864,6.4864
ORD-0760,Toby Swindell,Consumer,Furniture,181.47,-320.597
ORD-0760,Toby Swindell,Consumer,Office Supplies,32.34,-23.716
ORD-0760,Toby Swindell,Consumer,Office Supplies,108.72,36.693
ORD-0760,Toby Swindell,Consumer,Office Supplies,56.064,19.6224
ORD-0775,Hunter Lopez,Consumer,Furniture,1067.94,224.2674
ORD-1044,Xylona Preis,Consumer,Furniture,14.73,4.8609
ORD-1044,Xylona Preis,Consumer,Furniture,272.94,30.0234
ORD-0775,Hunter Lopez,Consumer,Furniture,38.6,11.58
ORD-0789,Mark Van Huff,Consumer,Furniture,19.3,5.79
ORD-1044,Xylona Preis,Consumer,Office Supplies,247.716,93.5816
ORD-0775,Hunter Lopez,Consumer,Office Supplies,22.96,6.6584
ORD-0775,Hunter Lopez,Consumer,Office Supplies,6.63,1.7901
ORD-1044,Xylona Preis,Consumer,Office Supplies,43.92,12.7368
ORD-1044,Xylona Preis,Consumer,Office Supplies,19.05,8.9535
ORD-0778,Muhammed MacIntyre,Corporate,Office Supplies,67.194,-51.5154
ORD-1044,Xylona Preis,Consumer,Office Supplies,29.7,13.365
ORD-0775,Hunter Lopez,Consumer,Office Supplies,23.34,10.9698
ORD-0789,Mark Van Huff,Consumer,Office Supplies,19.36,9.2928
ORD-1044,Xylona Preis,Consumer,Office Supplies,13.98,4.0542
ORD-1044,Xylona Preis,Consumer,Office Supplies,66.58,15.9792
ORD-0775,Hunter Lopez,Consumer,Technology,699.93,181.9818
ORD-0261,Tom Boeckenhauer,Consumer,Furniture,25.248,4.1028
ORD-0003,Jane Waco,Corporate,Furniture,24.3,10.45
ORD-0003,Jane Waco,Corporate,Furniture,9.48,3.79
ORD-0003,Jane Waco,Corporate,Furniture,31.4,13.19
ORD-0003,Jane Waco,Corporate,Office Supplies,6.48,3.11
ORD-0003,Jane Waco,Corporate,Technology,209.5,58.66
ORD-0770,Speros Goranitis,Consumer,Office Supplies,5.94,0.0
ORD-0140,Ionia McGrath,Consumer,Office Supplies,40.08,19.2384
ORD-1045,Carol Adams,Corporate,Furniture,141.96,39.7488
ORD-0879,Shirley Daniels,Home Office,Furniture,12.42,4.4712
ORD-0879,Shirley Daniels,Home Office,Furniture,62.82,30.7818
ORD-1045,Carol Adams,Corporate,Office Supplies,10.68,5.0196
ORD-0879,Shirley Daniels,Home Office,Office Supplies,16.68,8.34
ORD-0879,Shirley Daniels,Home Office,Office Supplies,19.44,9.3312
ORD-0879,Shirley Daniels,Home Office,Office Supplies,489.92,0.0
ORD-0879,Shirley Daniels,Home Office,Technology,187.98,52.6344
ORD-0879,Shirley Daniels,Home Office,Technology,155.35,0.0
ORD-0360,Ed Jacobs,Consumer,Furniture,333.0,-16.65
ORD-0360,Ed Jacobs,Consumer,Office Supplies,36.44,12.0252
ORD-0360,Ed Jacobs,Consumer,Office Supplies,57.23,14.3075
ORD-0107,Jasper Cacioppo,Consumer,Office Supplies,3.928,1.3257
ORD-0605,Mike Vittorini,Consumer,Office Supplies,10.56,4.752
ORD-0605,Mike Vittorini,Consumer,Office Supplies,229.94,6.8982
ORD-0332,Liz Carlisle,Consumer,Furniture,290.666,3.4196
ORD-0691,Bradley Drucker,Consumer,Technology,468.9,206.316
ORD-0442,Eric Barreto,Consumer,Office Supplies,18.336,-12.224
ORD-0676,Cynthia Delaney,Home Office,Office Supplies,12.35,5.8045
ORD-0442,Eric Barreto,Consumer,Technology,180.96,13.572
ORD-0270,Tom Boeckenhauer,Consumer,Office Supplies,13.272,4.3134
ORD-0270,Tom Boeckenhauer,Consumer,Office Supplies,83.84,27.248
ORD-0181,Mark Haberlin,Corporate,Office Supplies,17.248,6.0368
ORD-0213,Deborah Brumfield,Home Office,Office Supplies,82.896,29.0136
ORD-0213,Deborah Brumfield,Home Office,Office Supplies,34.24,16.0928
ORD-0229,Delfina Latchford,Consumer,Office Supplies,8.952,-14.7708
ORD-0567,Neil Ducich,Corporate,Office Supplies,15.0,7.2
ORD-0567,Neil Ducich,Corporate,Technology,144.95,42.0355
ORD-0567,Neil Ducich,Corporate,Technology,161.61,42.0186
ORD-1061,Chris Selesnick,Corporate,Office Supplies,64.96,9.744
ORD-0222,Cyma Kinney,Corporate,Technology,115.36,49.6048
ORD-0477,Nathan Mautz,Home Office,Furniture,14.56,5.5328
ORD-1050,Guy Armstrong,Consumer,Furniture,60.89,15.2225
ORD-1050,Guy Armstrong,Consumer,Furniture,332.94,53.2704
ORD-0508,Natalie Fritzler,Consumer,Furniture,1256.22,75.3732
ORD-0508,Natalie Fritzler,Consumer,Office Supplies,17.46,8.2062
ORD-1050,Guy Armstrong,Consumer,Office Supplies,51.9,24.393
ORD-1050,Guy Armstrong,Consumer,Office Supplies,9.64,4.4344
ORD-1050,Guy Armstrong,Consumer,Office Supplies,14.94,6.8724
ORD-1050,Guy Armstrong,Consumer,Office Supplies,64.96,2.5984
ORD-0508,Natalie Fritzler,Consumer,Technology,234.45,103.158
ORD-0266,Sanjit Chand,Consumer,Furniture,129.568,-24.294
ORD-0418,Marina Lichtenstein,Corporate,Office Supplies,81.96,22.9488
ORD-0221,Shui Tom,Consumer,Office Supplies,16.176,6.066
ORD-0418,Marina Lichtenstein,Corporate,Office Supplies,238.62,4.7724
ORD-0418,Marina Lichtenstein,Corporate,Technology,239.97,86.3892
ORD-1010,Barry Französisch,Corporate,Office Supplies,21.36,7.209
ORD-0424,Michael Nguyen,Consumer,Office Supplies,7.96,-13.93
ORD-0424,Michael Nguyen,Consumer,Office Supplies,1.08,-1.728
ORD-0862,Delfina Latchford,Consumer,Office Supplies,54.208,8.8088
ORD-1011,Troy Blackwell,Consumer,Furniture,25.16,-11.322
ORD-0848,Aaron Bergman,Consumer,Office Supplies,12.624,-2.5248
ORD-0245,Linda Cazamias,Corporate,Furniture,20.32,6.9088
ORD-1001,Steven Roelle,Home Office,Office Supplies,12.96,6.2208
ORD-0245,Linda Cazamias,Corporate,Technology,62.31,22.4316
ORD-1009,Tamara Manning,Consumer,Office Supplies,8.85,-13.7175
ORD-0589,Sue Ann Reed,Consumer,Office Supplies,19.44,9.3312
ORD-0164,Michael Grace,Home Office,Office Supplies,4.428,-6.8634
ORD-0164,Michael Grace,Home Office,Office Supplies,6.936,2.3409
ORD-0641,Jennifer Halladay,Consumer,Office Supplies,22.776,7.6869
ORD-0641,Jennifer Halladay,Consumer,Office Supplies,32.896,11.1024
ORD-0895,Joy Smith,Consumer,Office Supplies,19.456,3.4048
ORD-0310,Vicky Freymann,Home Office,Furniture,634.116,-172.1172
ORD-0556,Shahid Collister,Consumer,Furniture,362.25,0.0
ORD-0172,Dave Brooks,Consumer,Furniture,457.568,51.4764
