OrderID,OrderDate,CustomerName,Segment,Region,Category,Sales,Profit
ORD-0165,2022-03-14,Darren Powers,Consumer,Central,Office Supplies,16.448,5.5512
ORD-0288,2022-03-15,Phillina Ober,Home Office,Central,Office Supplies,3.54,-5.487
ORD-0288,2022-03-15,Phillina Ober,Home Office,Central,Office Supplies,11.784,4.2717
ORD-0288,2022-03-15,Phillina Ober,Home Office,Central,Office Supplies,272.736,-64.7748
ORD-0710,2022-03-16,Mick Brown,Consumer,East,Office Supplies,19.536,4.884
ORD-1036,2022-03-17,Maria Etezadi,Home Office,South,Furniture,2573.82,746.4078
ORD-1036,2022-03-17,Maria Etezadi,Home Office,South,Office Supplies,5.48,1.4796
ORD-0197,2022-03-17,Jack O'Briant,Corporate,South,Office Supplies,12.78,5.2398
ORD-1036,2022-03-17,Maria Etezadi,Home Office,South,Office Supplies,609.98,274.491
ORD-1036,2022-03-17,Maria Etezadi,Home Office,South,Office Supplies,31.12,0.3112
ORD-1036,2022-03-17,Maria Etezadi,Home Office,South,Office Supplies,6.54,3.0084
ORD-0551,2022-03-17,Lycoris Saunders,Consumer,West,Office Supplies,19.44,9.3312
ORD-1036,2022-03-17,Maria Etezadi,Home Office,South,Technology,755.96,204.1092
ORD-1036,2022-03-17,Maria Etezadi,Home Office,South,Technology,391.98,113.6742
ORD-0191,2022-03-18,Vivek Sundaresam,Consumer,Central,Furniture,76.728,-53.7096
ORD-0191,2022-03-18,Vivek Sundaresam,Consumer,Central,Office Supplies,10.43,-18.2525
ORD-0620,2022-03-20,Melanie Seite,Consumer,Central,Office Supplies,9.344,1.168
ORD-0620,2022-03-20,Melanie Seite,Consumer,Central,Technology,31.2,9.75
ORD-0795,2022-03-21,Anthony Jacobs,Corporate,South,Furniture,51.94,21.2954
ORD-0795,2022-03-21,Anthony Jacobs,Corporate,South,Office Supplies,2.89,1.3583
ORD-0539,2022-03-22,Seth Vernon,Consumer,East,Furniture,9.94,3.0814
ORD-0904,2022-03-24,Brian Dahlen,Consumer,West,Furniture,333.999,3.9294
ORD-0242,2022-03-24,Natalie DeCherney,Consumer,South,Furniture,545.94,87.3504
ORD-0904,2022-03-24,Brian Dahlen,Consumer,West,Office Supplies,19.9,6.567
ORD-0373,2022-03-24,Michael Moore,Consumer,East,Office Supplies,3.438,-2.5212
ORD-0968,2022-03-24,Chris Selesnick,Corporate,South,Office Supplies,5.64,2.7072
ORD-0968,2022-03-24,Chris Selesnick,Corporate,South,Office Supplies,50.94,25.47
ORD-0968,2022-03-24,Chris Selesnick,Corporate,South,Office Supplies,11.36,5.3392
ORD-0373,2022-03-24,Michael Moore,Consumer,East,Office Supplies,37.408,13.0928
ORD-0968,2022-03-24,Chris Selesnick,Corporate,South,Office Supplies,572.58,34.3548
ORD-0904,2022-03-24,Brian Dahlen,Consumer,West,Office Supplies,1325.85,238.653
ORD-0968,2022-03-24,Chris Selesnick,Corporate,South,Technology,646.74,258.696
ORD-0800,2022-03-25,Brendan Sweed,Corporate,East,Furniture,61.96,-53.2856
ORD-0155,2022-03-26,Erica Hackney,Consumer,South,Technology,149.95,65.978
ORD-0339,2022-03-27,Delfina Latchford,Consumer,East,Furniture,127.104,28.5984
ORD-0339,2022-03-27,Delfina Latchford,Consumer,East,Office Supplies,18.588,-13.6312
ORD-0339,2022-03-27,Delfina Latchford,Consumer,East,Office Supplies,30.072,10.1493
ORD-0339,2022-03-27,Delfina Latchford,Consumer,East,Technology,124.2,-31.05
ORD-0443,2022-03-29,David Wiener,Corporate,West,Office Supplies,64.864,6.4864
ORD-0760,2022-03-30,Toby Swindell,Consumer,West,Furniture,181.47,-320.597
ORD-0760,2022-03-30,Toby Swindell,Consumer,West,Office Supplies,32.34,-23.716
ORD-0760,2022-03-30,Toby Swindell,Consumer,West,Office Supplies,108.72,36.693
ORD-0760,2022-03-30,Toby Swindell,Consumer,West,Office Supplies,56.064,19.6224
ORD-0775,2022-03-31,Hunter Lopez,Consumer,South,Furniture,1067.94,224.2674
ORD-1044,2022-03-31,Xylona Preis,Consumer,Central,Furniture,14.73,4.8609
ORD-1044,2022-03-31,Xylona Preis,Consumer,Central,Furniture,272.94,30.0234
ORD-0775,2022-03-31,Hunter Lopez,Consumer,South,Furniture,38.6,11.58
ORD-0789,2022-03-31,Mark Van Huff,Consumer,West,Furniture,19.3,5.79
ORD-1044,2022-03-31,Xylona Preis,Consumer,Central,Office Supplies,247.716,93.5816
ORD-0775,2022-03-31,Hunter Lopez,Consumer,South,Office Supplies,22.96,6.6584
ORD-0775,2022-03-31,Hunter Lopez,Consumer,South,Office Supplies,6.63,1.7901
ORD-1044,2022-03-31,Xylona Preis,Consumer,Central,Office Supplies,43.92,12.7368
ORD-1044,2022-03-31,Xylona Preis,Consumer,Central,Office Supplies,19.05,8.9535
ORD-0778,2022-03-31,Muhammed MacIntyre,Corporate,South,Office Supplies,67.194,-51.5154
ORD-1044,2022-03-31,Xylona Preis,Consumer,Central,Office Supplies,29.7,13.365
ORD-0775,2022-03-31,Hunter Lopez,Consumer,South,Office Supplies,23.34,10.9698
ORD-0789,2022-03-31,Mark Van Huff,Consumer,West,Office Supplies,19.36,9.2928
ORD-1044,2022-03-31,Xylona Preis,Consumer,Central,Office Supplies,13.98,4.0542
ORD-1044,2022-03-31,Xylona Preis,Consumer,Central,Office Supplies,66.58,15.9792
ORD-0775,2022-03-31,Hunter Lopez,Consumer,South,Technology,699.93,181.9818
ORD-0261,2022-04-01,Tom Boeckenhauer,Consumer,South,Furniture,25.248,4.1028
ORD-0003,2022-04-01,Jane Waco,Corporate,East,Furniture,24.3,10.45
ORD-0003,2022-04-01,Jane Waco,Corporate,East,Furniture,9.48,3.79
ORD-0003,2022-04-01,Jane Waco,Corporate,East,Furniture,31.4,13.19
ORD-0003,2022-04-01,Jane Waco,Corporate,East,Office Supplies,6.48,3.11
ORD-0003,2022-04-01,Jane Waco,Corporate,East,Technology,209.5,58.66
ORD-0770,2022-04-03,Speros Goranitis,Consumer,Central,Office Supplies,5.94,0.0
ORD-0140,2022-04-03,Ionia McGrath,Consumer,West,Office Supplies,40.08,19.2384
ORD-1045,2022-04-06,Carol Adams,Corporate,Central,Furniture,141.96,39.7488
ORD-0879,2022-04-06,Shirley Daniels,Home Office,South,Furniture,12.42,4.4712
ORD-0879,2022-04-06,Shirley Daniels,Home Office,South,Furniture,62.82,30.7818
ORD-1045,2022-04-06,Carol Adams,Corporate,Central,Office Supplies,10.68,5.0196
ORD-0879,2022-04-06,Shirley Daniels,Home Office,South,Office Supplies,16.68,8.34
